,Name,Category,Body,Compound,Positive,Negative,Neutral
0,Hornby,Toy,Worth Buying For The Pictures Alone (As Ever) ,-0.0258,0.192,0.606,0.202
1,Hornby,Toy,I love it ,0.6369,0.808,0.192,0.0
2,Hornby,Toy,Birthday present ,0.0,0.0,1.0,0.0
3,Hornby,Toy,"High standard model, well worth the wait. Replaces ... ",0.4588,0.364,0.636,0.0
4,Hornby,Toy,Beautiful set ,0.5994,0.796,0.204,0.0
5,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
6,Hornby,Toy,steaming good engine! ,0.4926,0.615,0.385,0.0
7,Hornby,Toy,Gods Wonderful Railway. ,0.5719,0.649,0.351,0.0
8,Hornby,Toy,Olympic Gold ,0.0,0.0,1.0,0.0
9,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
10,Hornby,Toy,Good introduction to model railways ,0.4404,0.42,0.58,0.0
11,Hornby,Toy,Hornby R3086 LNER Flying Scotsman ,0.0,0.0,1.0,0.0
12,Hornby,Toy,Horny R1138 GWR Frieght Train review ,0.0,0.0,1.0,0.0
13,Hornby,Toy,"Essential for the latest digital Scalextric digital base, also usable with train sets. ",0.0,0.0,1.0,0.0
14,Corgi,Toy,A Great Model ,0.6249,0.804,0.196,0.0
15,Hornby,Toy,Christmas Joy! ,0.6239,0.804,0.196,0.0
16,Hornby,Toy,Great engine. ,0.6249,0.804,0.196,0.0
17,Hornby,Toy,hornby pennine express train set ,0.0,0.0,1.0,0.0
18,Hornby,Toy,uncoupling ramp ,0.0,0.0,1.0,0.0
19,Hornby,Toy,"Excellent small starter trainset, with a pretty cool crane. More to play with than just a small set of trucks or coaches. Fun ",0.9346,0.487,0.513,0.0
20,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
21,Corgi,Toy,... received this lovely train today and I am really happy with this purchase ,0.8588,0.436,0.564,0.0
22,Mattel,Toy,Five Stars ,0.0,0.0,1.0,0.0
23,Hornby,Toy,A very good model with only a few of shortcomings ,0.4927,0.313,0.687,0.0
24,Hornby,Toy,Excellent as far as I can test... ,0.5719,0.425,0.575,0.0
